# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	1727
#@/user_id	Windows
a 	啊	c=3 d=0.492072 t=1308
a a a 	啊啊啊	c=-1 d=0 t=745
a a a a a 	啊啊啊啊啊	c=-1 d=0 t=745
a bei duo 	阿贝多	c=1 d=1.9801e-08 t=1727
a ka na 	阿卡那	c=1 d=1.9801e-08 t=1727
ai da 	艾達	c=1 d=0.99005 t=1727
ai hao 	愛好	c=1 d=1.9801e-08 t=1727
ai ren yao sai 	矮人要塞	c=2 d=0.895834 t=1727
ai ren yao sai ma 	矮人要塞吗	c=1 d=1.9801e-08 t=1727
an 	按	c=1 d=1 t=1154
an jian 	按鍵	c=0 d=0.00277367 t=1727
an jian 	案件	c=0 d=0.00275983 t=1727
an jian bang ding 	按鍵綁定	c=1 d=0.0278757 t=1727
an jian bang ding 	案件綁定	c=1 d=0.0277367 t=1727
an ju 	暗橘	c=1 d=1.9801e-08 t=1727
an pai 	安排	c=0 d=0.0839457 t=1727
an pai shang 	安排上	c=1 d=0.843665 t=1727
an zhuang 	安裝	c=0 d=0.0951229 t=1727
an zhuang chu cuo 	安裝出錯	c=1 d=0.955997 t=1727
ba 	吧	c=2 d=1.61126 t=1727
ba 	把	c=3 d=0.617382 t=1727
ba ta 	把它	c=0 d=0.1 t=1151
ba zhou wei yi quan 	把周围一圈	c=1 d=1.9801e-08 t=1727
bai 	白	c=1 d=0.955997 t=1727
bai ji ge 	摆几个	c=1 d=1.9801e-08 t=1727
bai nian 	百年	c=1 d=0.767206 t=1727
bai se de 	白色的	c=1 d=0.298197 t=1727
ban ben 	版本	c=2 d=0.621885 t=1727
ban cheng pin 	半成品	c=1 d=0.71177 t=1727
ban jiao zi fu 	半角字符	c=1 d=1.9801e-08 t=1727
ban yan you xi 	扮演游戏	c=1 d=1.9801e-08 t=1727
bang ding 	綁定	c=0 d=0.00553349 t=1727
bang wo 	幫我	c=0 d=0.1 t=1433
bao 	寶	c=1 d=0.532591 t=1727
bao ke meng 	包可夢	c=1 d=0.529935 t=1727
bao liu 	保留	c=0 d=0.0366045 t=1727
bao qi 	抱起	c=0 d=0.0965605 t=1727
bao qi le 	抱起了	c=1 d=0.970446 t=1727
bao zhe 	抱着	c=1 d=1.04924 t=1727
bao zhe wo de 	抱着我的	c=1 d=0.937067 t=1727
bao zhuang 	包裝	c=1 d=0.481909 t=1727
bei 	唄	c=0 d=0.0366044 t=1727
bei 	被	c=2 d=0.306626 t=1727
bei 	貝	c=0 d=0.0574072 t=1727
bei chong bai 	被崇拜	c=1 d=1.9801e-08 t=1727
bei jing 	背景	c=1 d=1 t=1323
bei jing gong an 	北京公安	c=1 d=1.9801e-08 t=1727
bei sai er 	貝塞爾	c=4 d=2.19171 t=1727
ben ci 	本次	c=1 d=0.849321 t=1727
ben di 	本地	c=1 d=0.97531 t=1727
beng tie 	崩铁	c=1 d=1.9801e-08 t=1727
bi 	比	c=1 d=0.666977 t=1727
bi 	筆	c=1 d=0.869358 t=1727
bi ji ben 	筆記本	c=1 d=0.442639 t=1727
bi jiao 	比較	c=2 d=0.859222 t=1727
bi li 	比例	c=3 d=2.81151 t=1727
bi mian 	避免	c=1 d=1 t=1627
bi qu jian 	閉區間	c=1 d=0.763379 t=1727
bi ru shuo 	比如說	c=1 d=0.522045 t=1727
bi xu shi 	必須是	c=1 d=0.882497 t=1727
bian chang 	邊長	c=1 d=1 t=1727
bian cheng 	變成	c=1 d=0.810584 t=1727
bian hao sou suo 	编号搜索	c=1 d=1.9801e-08 t=1727
bian hua 	變化	c=1 d=0.873716 t=1727
bian ji qi zu 	编辑器组	c=1 d=1.9801e-08 t=1727
bian jia qiang 	便加强	c=1 d=1.9801e-08 t=1727
bian kuang 	邊框	c=2 d=1.92774 t=1180
bian li 	遍歷	c=1 d=1 t=1376
bian liang 	變量	c=3 d=0.733447 t=1727
bian yi 	編譯	c=1 d=0.208609 t=1575
biao 	表	c=3 d=1.09185 t=1727
biao da shi 	表達式	c=1 d=0.99005 t=1727
biao ge 	表格	c=1 d=1 t=1484
biao liang lei xing 	标量类型	c=1 d=1.9801e-08 t=1727
biao shi 	表示	c=0 d=0.199501 t=1097
biao shi fu 	標識符	c=1 d=1 t=1652
biao ti 	標題	c=2 d=1 t=1727
biao xian 	表現	c=1 d=0.615697 t=1727
bie ming 	別名	c=2 d=1.28938 t=1541
bing bu 	並不	c=0 d=0.137303 t=1727
bing bu dou shi 	並不都是	c=1 d=0.65377 t=1727
bing bu shi 	並不是	c=1 d=0.737123 t=1727
bing qi ku 	兵器库	c=1 d=1.9801e-08 t=1727
bing qie hui 	並且會	c=1 d=0.371577 t=1727
bo fang kong jian 	播放控件	c=1 d=1.9801e-08 t=1727
bu 	不	c=2 d=0.937067 t=1727
bu bi yao de 	不必要的	c=2 d=1.86936 t=1727
bu dan xin 	不擔心	c=1 d=0.499074 t=1727
bu dui 	不對	c=2 d=0.71177 t=1727
bu duo 	不多	c=2 d=1.97045 t=1706
bu fen 	部分	c=1 d=0.708346 t=1727
bu gan huo er 	不干活儿	c=1 d=1.9801e-08 t=1727
bu gou 	不夠	c=0 d=0.1 t=1436
bu gou gao xiao 	不夠高效	c=1 d=1 t=1437
bu guo 	不過	c=0 d=0.099005 t=1727
bu guo you duan shi jian mei wan le 	不過有段時間沒玩了	c=1 d=0.99005 t=1727
bu he fa 	不合法	c=1 d=0.960789 t=1727
bu hui 	不會	c=1 d=0.362402 t=1727
bu ji ge 	不及格	c=3 d=1.90121 t=1727
bu ke yi 	不可以	c=1 d=1.06217 t=1727
bu ke yi bei 	不可以被	c=1 d=0.970446 t=1727
bu men 	部門	c=1 d=1 t=1404
bu men tong xun 	部门通讯	c=2 d=0.183599 t=1727
bu nan 	不難	c=1 d=0.440432 t=1727
bu neng 	不能	c=1 d=1.04453 t=1727
bu neng she zhi 	不能設置	c=1 d=0.286505 t=1727
bu qi 	不起	c=1 d=0.321422 t=1727
bu quan 	補全	c=2 d=0.428411 t=1727
bu ran 	不然	c=1 d=0.76338 t=1727
bu ren shi 	不認識	c=0 d=0.067368 t=1727
bu ren shi de 	不認識的	c=1 d=0.677057 t=1727
bu run 	不潤	c=1 d=0.771052 t=1727
bu shi 	不是	c=1 d=0.67368 t=1727
bu shi wo xiang yao 	不是我想要	c=1 d=1.9801e-08 t=1727
bu sui ma 	不随吗	c=1 d=1.9801e-08 t=1727
bu tai 	不太	c=0 d=0.1 t=1174
bu tai xing 	不太行	c=1 d=1 t=1175
bu tong 	不同	c=1 d=0.610888 t=1727
bu tong ping tai 	不同平臺	c=1 d=0.980199 t=1727
bu tong zhi chu 	不同之處	c=1 d=0.621885 t=1727
bu xian shi 	不顯示	c=2 d=1.23027 t=1727
bu xing le 	不行了	c=0 d=0.0332871 t=1727
bu yun xing 	不運行	c=1 d=1 t=1408
bu zhi chi 	不支持	c=3 d=1.77386 t=1727
bu zhi dao 	不知道	c=2 d=0.543351 t=1727
bu zu 	補足	c=1 d=0.22695 t=1727
cai dui 	猜對	c=0 d=0.0852144 t=1727
cai dui le 	猜對了	c=1 d=0.856415 t=1727
can kao 	參考	c=1 d=0.377192 t=1727
can shu 	參數	c=5 d=1.31796 t=1727
cao zuo 	操作	c=2 d=0.571209 t=1727
ce 	側	c=1 d=0.247833 t=1727
ce hua 	策劃	c=1 d=0.447088 t=1727
ce shi 	測試	c=9 d=1.25111 t=1727
cen 	岑	c=0 d=0.0946485 t=1727
cen fu zi 	岑夫子	c=1 d=0.951229 t=1727
cha cha 	叉叉	c=1 d=0.214381 t=1727
cha guo 	查過	c=0 d=0.1 t=1470
cha guo yi bian 	查過一遍	c=1 d=1 t=1471
cha kan 	查看	c=1 d=0.244143 t=1727
cha ma ke 	查马克	c=1 d=1.9801e-08 t=1727
cha ru 	插入	c=1 d=0.339596 t=1727
cha zhao 	查找	c=0 d=0.050409 t=1727
cha zhao qi 	查找器	c=1 d=0.506617 t=1727
chai fen 	拆分	c=1 d=0.380983 t=1727
chang du 	長度	c=1 d=0.778805 t=1727
chang du wei 	長度爲	c=1 d=0.67368 t=1727
chang liang 	常量	c=2 d=0.960789 t=1727
chang shi 	嘗試	c=1 d=0.582748 t=1727
chang shi guo 	嘗試過	c=1 d=0.715338 t=1727
chao chu 	超出	c=0 d=0.0909373 t=1727
che xiao 	撤銷	c=1 d=0.637628 t=1727
chen shan 	襯衫	c=1 d=1 t=1676
cheng 	乘	c=3 d=1.76885 t=1727
cheng ji 	成績	c=3 d=2.71944 t=1727
cheng nan 	城南	c=0 d=0.1 t=1363
cheng nan zhan 	城南站	c=1 d=1 t=1364
cheng si 	乘四	c=1 d=1 t=1620
cheng yuan 	成員	c=0 d=0.1 t=1210
chong 	重	c=2 d=1.39852 t=1568
chong fu 	重複	c=2 d=1 t=1727
chong man le ai 	充满了爱	c=1 d=1.9801e-08 t=1727
chong tu 	衝突	c=1 d=1.09005 t=1573
chong ying 	重映	c=0 d=0.1 t=1226
chong ying she 	重映射	c=1 d=1 t=1227
chong zai 	重載	c=1 d=0.941765 t=1727
chu 	出	c=0 d=0.0860708 t=1727
chu 	除	c=1 d=0.390628 t=1727
chu cuo 	出錯	c=0 d=0.0951229 t=1727
chu fa 	觸發	c=2 d=0.588484 t=1727
chu li 	處理	c=3 d=0.479505 t=1727
chu mo ban 	觸摸板	c=2 d=0.634123 t=1727
chu mo shun chang de 	出墨順暢的	c=1 d=0.865022 t=1727
chu sheng 	出生	c=0 d=0.0737123 t=1727
chu shi hua zhong 	初始化中	c=1 d=1.9801e-08 t=1727
chu xian 	出現	c=1 d=1.09501 t=1532
chu zhong 	初中	c=0 d=0.0501576 t=1727
chu zhong jiu kai shi 	初中就開始	c=1 d=0.50409 t=1727
chuang ge 	窗格	c=5 d=2.93164 t=1727
chuang kou 	窗口	c=2 d=1.25041 t=1727
chun hua 	唇化	c=1 d=1.9801e-08 t=1727
ci 	此	c=1 d=0.597501 t=1727
ci bai di 	辞白帝	c=1 d=1.9801e-08 t=1727
ci fen fa 	此分发	c=1 d=1.9801e-08 t=1727
cong 	從	c=1 d=0.258025 t=1532
cong chu xian 	從出現	c=2 d=1.98511 t=1536
cong zuo wang you ma 	从左往右吗	c=1 d=1.9801e-08 t=1727
cuo wu 	錯誤	c=2 d=1.71534 t=1589
da bu kai 	打不開	c=1 d=0.67032 t=1727
da gai 	大概	c=0 d=0.0615697 t=1727
da gai ba 	大概吧	c=1 d=0.618783 t=1727
da geng ren 	打更人	c=1 d=1.9801e-08 t=1727
da kai 	打開	c=1 d=0.66034 t=1727
da lie ri 	达列日	c=1 d=1.9801e-08 t=1727
da suan 	打算	c=1 d=0.384813 t=1727
da suan wen ni de 	打算问你的	c=1 d=1.9801e-08 t=1727
da xiao 	大小	c=1 d=0.603506 t=1727
da yu 	大於	c=1 d=0.891366 t=1727
da zi 	打字	c=1 d=0.218712 t=1727
dai ma 	代碼	c=5 d=1.31754 t=1727
dai ma duan 	代碼段	c=1 d=1 t=1260
dai ma gao liang 	代碼高亮	c=2 d=1.15982 t=1727
dai ma zhong 	代碼中	c=1 d=1 t=1436
dai shu 	代數	c=0 d=0.1 t=1097
dai shu biao shi 	代數表示	c=1 d=1 t=1098
dai zu zi zhi qu 	傣族自治区	c=1 d=1.9801e-08 t=1727
dan 	但	c=9 d=1.22457 t=1727
dan 	單	c=1 d=0.319819 t=1727
dan du 	單獨	c=1 d=0.173774 t=1727
dan hao xiang zen me de 	但好像怎麼的	c=1 d=0.467666 t=1727
dan heng 	丹恒	c=1 d=1.9801e-08 t=1727
dan na yang de hua 	但那樣的話	c=1 d=0.722527 t=1727
dan qiu sheng 	丹丘生	c=1 d=0.955997 t=1727
dan shi 	但是	c=1 d=0.319819 t=1727
dan wei ding yi 	单位定义	c=1 d=1.9801e-08 t=1727
dan wen jian 	但文件	c=1 d=0.318224 t=1727
dan xia mian de 	但下面的	c=1 d=1.9801e-08 t=1727
dan xing hao shi mo wen qian cheng 	但行好事莫問前程	c=1 d=0.548811 t=1727
dan xu shu 	但虛數	c=1 d=1 t=1170
dang jian gong zuo 	黨建工作	c=1 d=1 t=1244
dang qian 	當前	c=2 d=0.752228 t=1727
dang qian zhi 	當前值	c=1 d=1 t=1646
dao 	到	c=3 d=0.839599 t=1727
dao chu 	導出	c=1 d=0.315058 t=1727
dao hang 	導航	c=1 d=1 t=1399
dao huo 	倒貨	c=2 d=0.861332 t=1727
dao ru 	導入	c=1 d=0.535261 t=1727
dao shi 	倒是	c=1 d=0.438235 t=1727
dao zhi de 	導致的	c=1 d=0.763379 t=1727
